idcar_200m,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,geometry,h3_index
CRS3035RES200mN2887000E3768400,13.0,5.3,0.1,1.5,0.5,3.7,0.1,622205.6,648.3,2.5,2.8,4.7,0.1,0.4,0.1,0.0,0.0,0.4,0.5,0.2,1.4,1.3,1.3,2.2,2.4,2.5,0.8,0.0,"POLYGON ((2.459069 48.841448, 2.458796 48.843237, 2.461508 48.843421, 2.461781 48.841632, 2.459069 48.841448))",891fb466b57ffff
CRS3035RES200mN2886600E3766400,151.5,72.0,0.0,29.0,1.0,0.0,4.0,4739091.8,6370.0,70.0,2.0,72.0,0.0,0.0,0.0,0.0,0.0,9.5,2.0,2.0,14.0,16.0,52.0,48.0,8.0,0.0,0.0,0.0,"POLYGON ((2.432495 48.83603, 2.432221 48.837818, 2.434933 48.838003, 2.435207 48.836215, 2.432495 48.83603))",891fb466a4fffff
CRS3035RES200mN2886600E3766800,7.0,2.2,0.5,0.8,0.5,0.0,0.0,147328.9,229.3,1.9,0.3,1.4,0.1,0.2,0.3,0.2,0.0,0.3,0.2,0.2,0.6,0.8,0.3,1.5,1.4,0.0,0.0,1.7,"POLYGON ((2.437919 48.836399, 2.437645 48.838187, 2.440357 48.838371, 2.440631 48.836583, 2.437919 48.836399))",891fb466a7bffff
CRS3035RES200mN2886600E3767200,7.0,2.2,0.5,0.8,0.5,0.0,0.0,147328.9,229.3,1.9,0.3,1.4,0.1,0.2,0.3,0.2,0.0,0.3,0.2,0.2,0.6,0.8,0.3,1.5,1.4,0.0,0.0,1.7,"POLYGON ((2.443343 48.836768, 2.443069 48.838556, 2.445781 48.83874, 2.446054 48.836952, 2.443343 48.836768))",891fb466a67ffff
CRS3035RES200mN2887200E3767800,54.5,28.0,2.0,10.0,0.0,13.0,4.0,2368225.1,2266.0,28.0,0.0,3.0,17.0,7.0,1.0,0.0,0.0,4.0,2.0,0.5,5.0,0.0,7.0,14.0,4.0,13.0,5.0,0.0,"POLYGON ((2.450659 48.842685, 2.450386 48.844473, 2.453098 48.844657, 2.453371 48.842869, 2.450659 48.842685))",891fb466a37ffff
CRS3035RES200mN2886600E3768200,1.0,0.4,0.0,0.1,0.0,0.3,0.0,37114.1,30.5,0.3,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,"POLYGON ((2.456902 48.837688, 2.456629 48.839476, 2.459342 48.83966, 2.459614 48.837872, 2.456902 48.837688))",891fb466b4bffff
CRS3035RES200mN2886400E3768000,5.0,1.8,0.2,0.5,0.2,1.4,0.2,185570.7,152.7,1.2,0.6,1.4,0.1,0.1,0.2,0.0,0.0,0.4,0.3,0.0,0.3,0.6,0.9,0.6,0.6,0.6,0.7,0.0,"POLYGON ((2.454463 48.835716, 2.45419 48.837504, 2.456902 48.837688, 2.457175 48.8359, 2.454463 48.835716))",891fb464c97ffff
CRS3035RES200mN2886400E3767400,13.0,4.0,0.9,1.4,0.9,0.0,0.0,273610.8,425.8,3.4,0.6,2.6,0.3,0.3,0.5,0.3,0.0,0.6,0.3,0.3,1.1,1.4,0.6,2.9,2.6,0.0,0.0,3.2,"POLYGON ((2.446328 48.835164, 2.446054 48.836952, 2.448766 48.837136, 2.44904 48.835348, 2.446328 48.835164))",891fb466a67ffff
CRS3035RES200mN2886000E3767600,15.0,4.7,1.0,1.7,1.0,0.0,0.0,315704.8,491.3,4.0,0.7,3.0,0.3,0.3,0.7,0.4,0.0,0.7,0.3,0.3,1.3,1.7,0.7,3.3,3.0,0.0,0.0,3.7,"POLYGON ((2.449586 48.831771, 2.449313 48.83356, 2.452024 48.833744, 2.452297 48.831956, 2.449586 48.831771))",891fb464c8bffff
CRS3035RES200mN2885600E3768000,1.0,0.4,0.0,0.1,0.0,0.3,0.0,41187.2,41.7,0.2,0.2,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.1,0.2,0.2,0.1,0.0,"POLYGON ((2.455555 48.828563, 2.455282 48.830351, 2.457993 48.830535, 2.458266 48.828747, 2.455555 48.828563))",891fb464c17ffff
CRS3035RES200mN2885000E3767400,3.0,1.0,0.1,0.2,0.1,0.6,0.1,115636.5,182.4,0.2,0.8,0.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.4,0.3,0.2,0.3,0.7,0.2,0.8,0.0,0.0,"POLYGON ((2.448239 48.822646, 2.447966 48.824435, 2.450678 48.824619, 2.450951 48.82283, 2.448239 48.822646))",891fb464c57ffff
CRS3035RES200mN2885000E3767000,4.0,1.4,0.1,0.3,0.1,0.8,0.1,154182.0,243.2,0.3,1.1,1.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.5,0.4,0.3,0.4,0.9,0.3,1.1,0.0,0.0,"POLYGON ((2.442817 48.822278, 2.442544 48.824066, 2.445255 48.82425, 2.445528 48.822462, 2.442817 48.822278))",891fb464127ffff
CRS3035RES200mN2886400E3766200,3.0,0.9,0.2,0.3,0.2,0.0,0.0,63141.0,98.3,0.8,0.1,0.6,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.1,0.7,0.6,0.0,0.0,0.7,"POLYGON ((2.430057 48.834057, 2.429783 48.835845, 2.432495 48.83603, 2.432769 48.834242, 2.430057 48.834057))",891fb4641b3ffff
CRS3035RES200mN2886000E3765800,1.0,0.5,0.0,0.2,0.0,0.3,0.0,43409.0,36.8,0.5,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.3,0.1,0.2,0.1,0.0,"POLYGON ((2.425181 48.830112, 2.424908 48.8319, 2.427619 48.832085, 2.427893 48.830296, 2.425181 48.830112))",891fb46418fffff
CRS3035RES200mN2885600E3765400,15.0,5.7,0.0,2.0,0.8,0.0,0.4,592654.2,427.7,4.9,0.8,5.7,0.0,0.0,0.0,0.0,0.0,0.8,0.8,2.0,0.4,0.8,2.4,5.3,2.5,0.0,0.0,0.0,"POLYGON ((2.420307 48.826166, 2.420033 48.827954, 2.422744 48.828139, 2.423018 48.826351, 2.420307 48.826166))",891fb4641c7ffff
